"State","County","surroundingPopulationSummed","surroundingAreaSummed","surroundingLayerFarmsSummed","surroundingLayerCountSummed","Population..2020.census.","Area..mi.2.","layerFarms","layerCount","stateLayerFarms","stateLayerCount","surroundingPopulationDensity","populationDensity","animalDensity","farmDensity","surroundAnimalDensity","surroundingFarmDensity","Cooling.Degree.Days_JAN","Heating.Degree.Days_JAN","pcp_JAN","tavg_JAN","tmax_JAN","tmin_JAN","Cooling.Degree.Days_FEB","Heating.Degree.Days_FEB","pcp_FEB","tavg_FEB","tmax_FEB","tmin_FEB","Cooling.Degree.Days_MAR","Heating.Degree.Days_MAR","pcp_MAR","tavg_MAR","tmax_MAR","tmin_MAR","Cooling.Degree.Days_APR","Heating.Degree.Days_APR","pcp_APR","tavg_APR","tmax_APR","tmin_APR","Cooling.Degree.Days_MAY","Heating.Degree.Days_MAY","pcp_MAY","tavg_MAY","tmax_MAY","tmin_MAY","Cooling.Degree.Days_JUN","Heating.Degree.Days_JUN","pcp_JUN","tavg_JUN","tmax_JUN","tmin_JUN","Cooling.Degree.Days_JUL","Heating.Degree.Days_JUL","pcp_JUL","tavg_JUL","tmax_JUL","tmin_JUL","Cooling.Degree.Days_AUG","Heating.Degree.Days_AUG","pcp_AUG","tavg_AUG","tmax_AUG","tmin_AUG","Cooling.Degree.Days_SEP","Heating.Degree.Days_SEP","pcp_SEP","tavg_SEP","tmax_SEP","tmin_SEP","Cooling.Degree.Days_OCT","Heating.Degree.Days_OCT","pcp_OCT","tavg_OCT","tmax_OCT","tmin_OCT","Cooling.Degree.Days_NOV","Heating.Degree.Days_NOV","pcp_NOV","tavg_NOV","tmax_NOV","tmin_NOV","Cooling.Degree.Days_DEC","Heating.Degree.Days_DEC","pcp_DEC","tavg_DEC","tmax_DEC","tmin_DEC","personalIncome2022","corn_fraction","soy_fraction","alfalfa_fraction","total_crop","total_crop_fraction","state_total_crop","state_total_alfalfa","state_total_corn","state_total_soy","state_total_fraction"
"alabama","autauga",410718,3790.18,217,6213,58805,594.44,37,959,4164,7588334,108.36371887351,98.9250386918781,1.61328308996703,0.0622434560258394,1.63923613126553,0.057253217525289,16.18181818,581.3636364,5.818181818,46.76363636,57.94545455,35.55454545,19.18181818,372.2727273,5.970909091,52.39090909,64.1,40.65454545,43.45454545,255.7272727,5.493636364,58.14545455,70.44545455,45.87272727,63.54545455,87.81818182,6.12,64.18181818,76.98181818,51.4,228.9090909,10.36363636,4.91,72.02727273,84.14545455,59.89090909,420.1818182,0,4.794545455,79.03636364,89.68181818,68.33636364,506.2727273,0,4.855454545,81.32727273,91.5,71.14545455,494.7272727,0,4.564545455,80.96363636,91.35454545,70.55454545,364.2727273,0,2.897272727,77.13636364,88.43636364,65.84545455,123.3636364,67,3.155454545,66.80909091,79.06363636,54.54545455,12.18181818,324.3636364,3.244545455,54.6,67.10909091,42.08181818,14.45454545,447.8181818,5.642727273,51.01818182,61.75454545,40.3,49391,0.00238225001813682,0.00184548544770078,1.31203343693224e-05,388275,0.0252192961744983,46927395,2.82379478522501e-05,0.00675258148507041,0.00631987915132365,0.0357757379279683
"alabama","baldwin",831718,6182.86,354,106737,231767,1589.78,133,-47,4164,7588334,134.519947079507,145.785580394772,-0.0295638390217514,0.0836593742530413,17.2633700261691,0.0572550567213231,33.36363636,447.0909091,4.342727273,51.64545455,62.2,41.08181818,38.27272727,273.8181818,4.572727273,56.6,66.97272727,46.25454545,73.72727273,167.1818182,4.21,62.00909091,72.89090909,51.06363636,102.9090909,48.27272727,6.837272727,66.81818182,77.8,55.85454545,282.1818182,0.545454545,5.017272727,74.03636364,84.54545455,63.55454545,459.9090909,0,7.328181818,80.32727273,89.34545455,71.30909091,527.3636364,0,7.26,82.01818182,90.78181818,73.25454545,522.5454545,0,7.389090909,81.86363636,90.8,72.91818182,411.3636364,0,5.155454545,78.71818182,88.26363636,69.15454545,179.7272727,27.09090909,4.251818182,69.91818182,80.90909091,58.93636364,37.27272727,212.7272727,3.121818182,59.15454545,70.69090909,47.6,32.27272727,312.1818182,6.094545455,55.96363636,65.81818182,46.10909091,56747,0.00561751082598693,0.0064983085066212,0,2305602,0.0559949511695408,46927395,2.82379478522501e-05,0.00675258148507041,0.00631987915132365,0.0357757379279683
"alabama","barbour",179418,3864.93,166,206733,25223,884.88,30,104897,4164,7588334,46.4220568030986,28.5044299792062,118.543757345629,0.0339029020884188,53.4894551777134,0.0429503251029126,21.36363636,539.0909091,5.427272727,48.3,59.42727273,37.14545455,25.63636364,337.2727273,4.953636364,53.86363636,65.24545455,42.48181818,50.90909091,232.9090909,3.956363636,59.13636364,71.22727273,47.02727273,70.90909091,83,6.040909091,64.6,76.82727273,52.34545455,228.3636364,8.272727273,3.772727273,72.08181818,84.00909091,60.15454545,411.6363636,0,5.258181818,78.73636364,89.38181818,68.03636364,490.9090909,0,5.283636364,80.84545455,91.4,70.23636364,479.7272727,0,5.401818182,80.47272727,90.95454545,69.99090909,352.1818182,0,3.749090909,76.74545455,87.7,65.77272727,129.0909091,50.36363636,2.896363636,67.54545455,79.69090909,55.36363636,18.72727273,287.6363636,3.128181818,56.03636364,68.2,43.86363636,15.54545455,412.3636364,6.118181818,52.20909091,62.46363636,41.93636364,40560,0.00205822222275196,0.000280343384307759,1.3089963469623e-07,496939,0.0216830445221033,46927395,2.82379478522501e-05,0.00675258148507041,0.00631987915132365,0.0357757379279683
"alabama","bibb",1193091,5274.41,377,10064,22293,622.58,35,1027,4164,7588334,226.203689133003,35.807446432587,1.64958720164477,0.0562176748369687,1.90808071424102,0.0714771889178126,11.72727273,636.4545455,5.325454545,44.84545455,56.01818182,33.68181818,11.45454545,431.2727273,6.62,50.01818182,61.58181818,38.41818182,32.72727273,305.0909091,5.523636364,56.2,68.57272727,43.82727273,43.45454545,121.2727273,6.396363636,62.41818182,75.07272727,49.75454545,191.9090909,22.36363636,3.931818182,70.48181818,82.53636364,58.37272727,375.2727273,0,5.036363636,77.5,88.39090909,66.6,468,0,4.555454545,80.1,90.44545455,69.74545455,454.5454545,0,4.689090909,79.66363636,90.11818182,69.19090909,323.7272727,1.545454545,2.129090909,75.7,87.03636364,64.35454545,102.6363636,90.81818182,3.187272727,65.38181818,77.77272727,52.99090909,7.727272727,363.4545455,3.698181818,53.15454545,65.66363636,40.63636364,9.363636364,499.8181818,5.691818182,49.19090909,59.84545455,38.5,37513,0.000187971639939847,0.00087337664311213,3.72098264480067e-07,29372,0.00182154503738475,46927395,2.82379478522501e-05,0.00675258148507041,0.00631987915132365,0.0357757379279683
"alabama","blount",1120080,4370.04,661,2121388,59134,644.78,114,370801,4164,7588334,256.308866738062,91.7119017339247,575.081423121065,0.17680449145445,485.439034882976,0.151257196730465,7.636363636,694.6363636,5.286363636,42.85454545,52.37272727,33.32727273,7.909090909,484.4545455,6.808181818,47.98181818,57.73636364,38.20909091,25.36363636,357.6363636,6.531818182,54.28181818,65.13636364,43.42727273,34.72727273,147.5454545,6.02,61.22727273,72.65454545,49.81818182,172.7272727,33.45454545,4.154545455,69.47272727,80.17272727,58.79090909,353.3636364,0,5.169090909,76.77272727,86.75454545,66.80909091,443.1818182,0,4.638181818,79.28181818,88.8,69.79090909,416.7272727,0,5.175454545,78.46363636,87.91818182,68.94545455,289.6363636,5.818181818,2.537272727,74.44545455,84.84545455,64.01818182,90.36363636,113.1818182,3.695454545,64.26363636,75.25454545,53.26363636,6.181818182,406.8181818,3.295454545,51.64545455,62.76363636,40.53636364,6.636363636,543.0909091,6.739090909,47.68181818,56.88181818,38.47272727,43744,0.00273764558987174,0.00481450288882448,1.79643395809423e-07,223947,0.0134101998537776,46927395,2.82379478522501e-05,0.00675258148507041,0.00631987915132365,0.0357757379279683
"alabama","bullock",365901,3591.25,163,107513,10357,622.8,14,334,4164,7588334,101.88680821441,16.6297366730893,0.536287732819525,0.0224791265253693,29.9374869474417,0.0453880960668291,19.45454545,560.7272727,5.101818182,47.54545455,58.60909091,36.48181818,23.36363636,351.7272727,5.166363636,53.26363636,64.51818182,42.01818182,48,246.0909091,4.125454545,58.61818182,70.59090909,46.61818182,66.09090909,88.63636364,5.826363636,64.25454545,76.49090909,52.00909091,217.3636364,10,3.902727273,71.64545455,83.47272727,59.81818182,405.3636364,0,5.51,78.51818182,89.01818182,68,485.3636364,0,5.164545455,80.64545455,90.92727273,70.37272727,472.3636364,0,5.035454545,80.22727273,90.52727273,69.92727273,345.0909091,0,3.759090909,76.50909091,87.40909091,65.59090909,118.2727273,60.81818182,3.079090909,66.87272727,78.83636364,54.87272727,16.72727273,304.8181818,3.385454545,55.4,67.6,43.17272727,15.18181818,429.2727273,6.04,51.62727273,61.99090909,41.26363636,31394,0.00341862308325305,0.00113815648457571,0,242803,0.0150524434296223,46927395,2.82379478522501e-05,0.00675258148507041,0.00631987915132365,0.0357757379279683
"alabama","butler",103044,5119.54,201,659099,19051,776.83,34,-47,4164,7588334,20.1275895881271,24.5240271359242,-0.0605022978000335,0.0437676196851306,128.741840087195,0.0392613398860054,22.63636364,535.2727273,5.418181818,48.45454545,59.99090909,36.91818182,28.54545455,343.5454545,5.229090909,53.75454545,65.88181818,41.60909091,56.27272727,222.7272727,4.590909091,59.63636364,72.23636364,47.00909091,71.09090909,85.54545455,6.201818182,64.50909091,77.64545455,51.39090909,227,9.636363636,4.778181818,72,84.40909091,59.56363636,415,0,5.817272727,78.80909091,89.33636364,68.3,494.2727273,0,5.113636364,80.92727273,91.11818182,70.76363636,483.6363636,0,5.117272727,80.60909091,90.98181818,70.20909091,356.2727273,0,3.62,76.88181818,88.06363636,65.64545455,129.7272727,59.54545455,3.675454545,67.26363636,79.92727273,54.6,17.36363636,298.5454545,3.394545455,55.62727273,68.62727273,42.60909091,19.90909091,407.6363636,6.226363636,52.48181818,63.59090909,41.38181818,46916,0.0011350987325895,0.000124404594433467,6.95830731949075e-06,106367,0.00528667339037338,46927395,2.82379478522501e-05,0.00675258148507041,0.00631987915132365,0.0357757379279683
"alabama","calhoun",316715,3017.47,411,225761,116441,605.87,86,2361,4164,7588334,104.960446996988,192.188093155297,3.89687556736594,0.14194464158978,74.8179766493122,0.136206822271638,8.545454545,662.6363636,5.459090909,43.9,54.50909091,33.28181818,8.272727273,464.8181818,6.297272727,48.69090909,59.82727273,37.55454545,24.36363636,339,5.526363636,54.82727273,67.03636364,42.64545455,34.27272727,141.1818182,5.454545455,61.45454545,74.36363636,48.51818182,171.5454545,32.27272727,4.722727273,69.49090909,81.23636364,57.71818182,352.2727273,0,5.23,76.75454545,87.41818182,66.06363636,449.4545455,0,4.558181818,79.50909091,89.72727273,69.25454545,430.2727273,0,4.680909091,78.90909091,89.23636364,68.52727273,290.5454545,4.727272727,2.600909091,74.50909091,85.98181818,63.03636364,86.81818182,108.0909091,3.107272727,64.31818182,76.48181818,52.14545455,6.454545455,387.8181818,3.611818182,52.29090909,64.71818182,39.85454545,6.545454545,526.7272727,6.133636364,48.19090909,58.40909091,38,42533,0.00395463029403998,0.00249879155052858,0,302962,0.0193067987485971,46927395,2.82379478522501e-05,0.00675258148507041,0.00631987915132365,0.0357757379279683
"alabama","chambers",341613,2782.61,262,227515,34772,596.53,68,1459,4164,7588334,122.767114327915,58.2904464151007,2.44581161048061,0.113992590481619,81.7631647985165,0.0941562058642785,8.545454545,638.9090909,5.566363636,44.66363636,56.22727273,33.1,9.272727273,431.9090909,5.528181818,49.91818182,61.8,38,23.72727273,325.0909091,4.909090909,55.27272727,68.26363636,42.28181818,30.54545455,139.5454545,5.925454545,61.38181818,74.84545455,47.89090909,158.7272727,29.72727273,4.122727273,69.17272727,81.6,56.72727273,345.9090909,0,5.247272727,76.54545455,87.45454545,65.6,442.6363636,0,4.744545455,79.27272727,89.64545455,68.93636364,422.1818182,0,4.943636364,78.62727273,89.00909091,68.20909091,276.1818182,2.181818182,2.868181818,74.09090909,85.41818182,62.76363636,76.18181818,106.2727273,3.845454545,64.03636364,76.37272727,51.66363636,6.272727273,379.9090909,3.660909091,52.56363636,65.3,39.78181818,5.545454545,512.4545455,6.603636364,48.64545455,59.47272727,37.82727273,38876,9.1455837562654e-05,2.34950240872211e-05,0,26587,0.00172083252178222,46927395,2.82379478522501e-05,0.00675258148507041,0.00631987915132365,0.0357757379279683
"alabama","cherokee",472943,3616.05,571,1581029,24971,553.7,100,-47,4164,7588334,130.7899503602,45.0984287520318,-0.0848835109264945,0.180603214737222,437.225425533386,0.157907108585335,7.545454545,696.1818182,5.322727273,42.78181818,52.72727273,32.82727273,5.090909091,496.2727273,6.654545455,47.50909091,58.08181818,36.9,22.18181818,367.2727273,5.576363636,53.87272727,65.51818182,42.20909091,32.09090909,155.2727273,5.868181818,60.89090909,73.44545455,48.31818182,168,34.90909091,4.339090909,69.28181818,80.8,57.78181818,341.5454545,0,4.860909091,76.38181818,87.17272727,65.57272727,431.7272727,0,4.39,78.91818182,89.09090909,68.72727273,411.2727273,0,4.836363636,78.25454545,88.57272727,67.96363636,270.9090909,6.363636364,3.065454545,73.8,85.16363636,62.45454545,74.54545455,119.0909091,3.579090909,63.54545455,75.35454545,51.77272727,5.272727273,412.6363636,3.492727273,51.43636364,63.26363636,39.57272727,5.181818182,557.2727273,6.693636364,47.19090909,56.89090909,37.48181818,44883,0.00823734469534495,0.0134644639343846,0,1792503,0.124993355442647,46927395,2.82379478522501e-05,0.00675258148507041,0.00631987915132365,0.0357757379279683
